iter	Passed	Remaining
420	2299	3162
421	2304	3156
422	2310	3151
423	2316	3146
424	2321	3140
425	2327	3135
426	2332	3129
427	2337	3124
428	2343	3118
429	2348	3113
430	2353	3107
431	2359	3101
432	2364	3096
433	2369	3090
434	2375	3085
435	2381	3080
436	2386	3074
437	2391	3068
438	2397	3063
439	2402	3057
440	2408	3052
441	2413	3046
442	2418	3040
443	2423	3035
444	2429	3029
445	2434	3024
446	2440	3019
447	2445	3013
448	2451	3007
449	2456	3002
450	2461	2996
451	2467	2991
452	2472	2985
453	2478	2980
454	2483	2974
455	2489	2969
456	2494	2964
457	2499	2958
458	2505	2952
459	2511	2947
460	2516	2942
461	2521	2936
462	2527	2930
463	2532	2925
464	2538	2920
465	2543	2914
466	2548	2908
467	2553	2903
468	2559	2897
469	2564	2891
470	2569	2886
471	2575	2881
472	2580	2875
473	2585	2869
474	2591	2864
475	2596	2858
476	2601	2852
477	2607	2847
478	2613	2842
479	2618	2836
480	2624	2831
481	2629	2825
482	2634	2820
483	2640	2815
484	2645	2809
485	2651	2804
486	2657	2799
487	2662	2793
488	2667	2787
489	2672	2781
490	2678	2776
491	2683	2770
492	2688	2765
493	2694	2759
494	2699	2754
495	2705	2748
496	2710	2743
497	2716	2738
498	2723	2734
499	2728	2728
500	2733	2722
501	2738	2717
502	2743	2710
503	2748	2705
504	2754	2699
505	2759	2693
506	2764	2687
507	2769	2682
508	2774	2676
509	2779	2670
510	2785	2665
511	2790	2659
512	2795	2653
513	2800	2648
514	2806	2643
515	2811	2637
516	2817	2631
517	2823	2626
518	2827	2620
519	2833	2615
520	2838	2609
521	2843	2603
522	2848	2598
523	2854	2593
524	2859	2587
525	2864	2581
526	2869	2575
527	2874	2569
528	2879	2564
529	2885	2558
530	2889	2552
531	2895	2546
532	2900	2541
533	2905	2535
534	2910	2529
535	2916	2524
536	2921	2519
537	2927	2513
538	2932	2508
539	2937	2502
540	2942	2496
541	2948	2491
542	2953	2485
543	2958	2480
544	2964	2474
545	2969	2468
546	2974	2463
547	2979	2457
548	2984	2452
549	2990	2446
550	2995	2440
551	3000	2435
552	3006	2430
553	3011	2424
554	3016	2418
555	3022	2413
556	3027	2408
557	3033	2402
558	3039	2397
559	3044	2391
560	3049	2386
561	3054	2380
562	3059	2374
563	3065	2369
564	3070	2363
565	3075	2358
566	3081	2353
567	3086	2347
568	3092	2342
569	3097	2336
570	3101	2330
571	3106	2324
572	3110	2317
573	3114	2311
574	3120	2306
575	3125	2300
576	3131	2295
577	3136	2289
578	3141	2284
579	3148	2279
580	3155	2275
581	3162	2271
582	3169	2266
583	3176	2262
584	3183	2258
585	3191	2254
586	3198	2250
587	3205	2245
588	3212	2241
589	3220	2238
590	3228	2234
591	3236	2230
592	3244	2226
593	3251	2222
594	3257	2217
595	3263	2212
596	3269	2207
597	3275	2201
598	3281	2196
599	3287	2191
600	3292	2186
601	3299	2181
602	3305	2176
603	3312	2171
604	3321	2168
605	3329	2164
606	3336	2160
607	3343	2155
608	3348	2149
609	3355	2145
610	3360	2139
611	3367	2134
612	3373	2129
613	3379	2124
614	3385	2119
615	3391	2114
616	3396	2108
617	3402	2103
618	3408	2097
619	3414	2092
620	3420	2087
621	3425	2082
622	3431	2076
623	3438	2071
624	3443	2066
625	3449	2060
626	3455	2055
627	3460	2050
628	3466	2044
629	3471	2038
630	3476	2033
631	3481	2027
632	3486	2021
633	3491	2015
634	3496	2009
635	3502	2004
636	3506	1998
637	3512	1992
638	3517	1987
639	3523	1981
640	3528	1975
641	3533	1970
642	3538	1964
643	3544	1959
644	3549	1953
645	3555	1948
646	3560	1942
647	3565	1936
648	3570	1930
649	3575	1925
650	3580	1919
651	3586	1914
652	3595	1910
653	3604	1907
654	3614	1903
655	3621	1899
656	3629	1894
657	3636	1890
658	3642	1884
659	3649	1879
660	3655	1874
661	3661	1869
662	3667	1864
663	3673	1858
664	3680	1853
665	3686	1848
666	3692	1843
667	3699	1838
668	3706	1833
669	3713	1828
670	3720	1824
671	3727	1819
672	3735	1814
673	3742	1809
674	3750	1805
675	3757	1800
676	3764	1796
677	3772	1791
678	3780	1787
679	3787	1782
680	3795	1777
681	3803	1773
682	3812	1769
683	3819	1764
684	3827	1760
685	3835	1755
686	3844	1751
687	3852	1747
688	3860	1742
689	3870	1738
690	3879	1734
691	3888	1730
692	3897	1726
693	3906	1722
694	3915	1718
695	3924	1714
696	3933	1709
697	3942	1705
698	3951	1701
699	3960	1697
700	3967	1692
701	3976	1688
702	3984	1683
703	3994	1679
704	4004	1675
705	4013	1671
706	4022	1667
707	4031	1662
708	4041	1658
709	4050	1654
710	4060	1650
711	4069	1646
712	4078	1641
713	4088	1637
714	4097	1633
715	4107	1629
716	4116	1624
717	4126	1620
718	4136	1616
719	4146	1612
720	4156	1608
721	4165	1603
722	4175	1599
723	4184	1595
724	4193	1590
725	4203	1586
726	4211	1581
727	4220	1576
728	4229	1572
729	4238	1567
730	4246	1562
731	4255	1558
732	4265	1553
733	4274	1549
734	4284	1544
735	4293	1539
736	4303	1535
737	4311	1530
738	4321	1526
739	4330	1521
740	4339	1516
741	4349	1512
742	4357	1507
743	4366	1502
744	4375	1497
745	4385	1493
746	4394	1488
747	4404	1483
748	4414	1479
749	4424	1474
750	4432	1469
751	4441	1464
752	4450	1459
753	4458	1454
754	4468	1449
755	4476	1444
756	4486	1440
757	4496	1435
758	4505	1430
759	4514	1425
760	4523	1420
761	4532	1415
762	4541	1410
763	4550	1405
764	4560	1400
765	4569	1395
766	4578	1390
767	4587	1385
768	4596	1380
769	4605	1375
770	4614	1370
771	4624	1365
772	4633	1360
773	4642	1355
774	4651	1350
775	4660	1345
776	4669	1340
777	4678	1334
778	4687	1329
